address;agr_type;id (main_data.csv);name;source;type;url;lat;lon;photos_number;rating;reviews_number
Партизанская ул., 47, Иркутск;питание;34;Дом рыбака;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/dom_rybaka/57036726825/;52,27937;104,304128;296;4,3;437
бул. Постышева, 41Б, Иркутск;питание;35;Культура;yandex;Кафе;https://yandex.ru/maps/org/kultura/105316910136/;52,261671;104,311653;38;4;47
Верхняя наб., 10, Иркутск, этаж 2;питание;36;Andreano;yandex&google&2gis;Ресторан;https://yandex.ru/maps/org/andreano/158974574112/;52,267517;104,289393;157;4,4;389
ул. Седова, 14/1, Иркутск;питание;37;Шашлыкоff;yandex;Бар;https://yandex.ru/maps/org/shashlykoff/127153373992/;52,274859;104,28841;85;4,4;845
ул. Лыткина, 42А, Иркутск;питание;38;Ривьера;yandex&2gis;Ресторан;https://yandex.ru/maps/org/rivyera/223452077449/;52,268047;104,31974;44;4,4;389
ул. Черных, 1, посёлок Молодёжный;питание;39;Мельник;yandex&2gis;Ресторан;https://yandex.ru/maps/org/melnik/1162087287/;52,250086;104,412858;73;4,5;102
ул. Франк-Каменецкого, 16А, Иркутск;культура;40;МБУК Музей истории города Иркутска имени А. М. Сибирякова;yandex&google&2gis;Музей;https://yandex.ru/maps/org/mbuk_muzey_istorii_goroda_irkutska_imeni_a_m_sibiryakova/1103092444/;52,290715;104,296381;600;4,4;300
ул. Карла Маркса, 2;культура;41;Иркутский областной краеведческий музей им. Н. Н. Муравьева-Амурского Отдел истории;yandex&google&2gis;Музей;https://yandex.ru/maps/org/irkutskiy_oblastnoy_krayevedcheskiy_muzey_im_n_n_muravyeva_amurskogo_otdel_istorii/1053307818/;52,27574;104,278115;250;4,5;527
ул. Ленина, 5;культура;42;ГБУК Иркутский областной художественный музей имени В. П. Сукачёва;yandex&google&2gis;Музей;https://yandex.ru/maps/org/gbuk_irkutskiy_oblastnoy_khudozhestvenny_muzey_imeni_v_p_sukachyova/1194546146/;52,283958;104,281599;213;4,6;871
ул. Дзержинского, 64;культура;43;Дом-музей Трубецких;yandex&google&2gis;Музей;https://yandex.ru/maps/org/dom_muzey_trubetskikh/146771590039/;52,288895;104,301797;827;4,6;592
ул. Карла Маркса, 13;культура;44;ГАУК Иркутский областной краеведческий музей Выставочный отдел Музейная студия;yandex&google&2gis;Музей;https://yandex.ru/maps/org/gauk_irkutskiy_oblastnoy_krayevedcheskiy_muzey_vystavochny_otdel_muzeynaya_studiya/1009433410/;52,281685;104,284299;233;4,6;74
ул. Карла Маркса, 11;культура;45;Отдел природы Иркутского областного краеведческого музея;yandex&google&2gis;Музей;https://yandex.ru/maps/org/otdel_prirody_irkutskogo_oblastnogo_krayevedcheskogo_muzeya/215313713078/;52,281413;104,283974;326;4,2;209
пер. Волконского, 10;культура;46;Дом-музей Волконских;yandex&google&2gis;Музей;https://yandex.ru/maps/org/dom_muzey_volkonskikh/1248505116/;52,287579;104,304606;279;4,7;796
ул. Октябрьской Революции, 3этаж 2,3;культура;47;Галерея Виктора Бронштейна;yandex&google;Музей;https://yandex.ru/maps/org/galereya_viktora_bronshteyna/1325191430/;52,290221;104,302393;238;4,7;1121
Подгорная ул., 27этаж 1, цокольный;культура;48;Музей ретро мототехники;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_retro_mototekhniki/217930363382/;52,278535;104,298765;652;4,5;237
ул. Декабрьских Событий, 112, Иркутск;культура;49;Музей-усадьба В. П. Сукачёва;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_usadba_v_p_sukachyova/1083693319/;52,279002;104,316457;1019;4,2;583
ул. Баррикад, 63;культура;50;Музей истории Иркутского тюремного замка имени А. В. Колчака;yandex;Музей;https://yandex.ru/maps/org/muzey_istorii_irkutskogo_tyuremnogo_zamka_imeni_a_v_kolchaka/152482535473/;52,293881;104,312087;0;0;0
ул. Свердлова, 20;культура;51;Музей В. Г. Распутина;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_v_g_rasputina/26928297655/;52,284696;104,283186;147;4,7;102
ул. Карла Маркса, 23;культура;52;Иркутский областной художественный музей имени В.П. Сукачева, Отдел сибирского искусства;yandex&google;Музей;https://yandex.ru/maps/org/irkutskiy_oblastnoy_khudozhestvenny_muzey_imeni_v_p_sukacheva_otdel_sibirskogo_iskusstva/1126359967/;52,284293;104,287374;247;4,4;96
Култукская ул., 46;культура;53;Музей лекарственных трав и минералов;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_lekarstvennykh_trav_i_mineralov/45028274769/;52,284163;104,330243;172;4,7;85
ул. Декабрьских Событий, 77Б этаж 2;культура;54;Музей чая;yandex&google;Музей;https://yandex.ru/maps/org/muzey_chaya/61056964190/;52,285955;104,30424;84;4,3;18
ул. Свердлова, 16;культура;55;Иркутский областной художественный музей имени В. П. Сукачёва;yandex&2gis;Музей;https://yandex.ru/maps/org/irkutskiy_oblastnoy_khudozhestvenny_muzey_imeni_v_p_sukachyova/12069741251/;52,284412;104,282574;54;4,6;15
ул. Чайковского, 5;культура;56;Музей истории г. Иркутска им. Сибирякова, филиал Солдаты Отечества;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_istorii_g_irkutska_im_sibiryakova_filial_soldaty_otechestva/1025018146/;52,281247;104,236922;125;4,5;108
ул. Декабрьских Событий, 77А;культура;57;Музей истории города Иркутска имени А. М. Сибирякова, филиал Музей городского быта;yandex&google;Музей;https://yandex.ru/maps/org/muzey_istorii_goroda_irkutska_imeni_a_m_sibiryakova_filial_muzey_gorodskogo_byta/1268480143/;52,286013;104,304103;90;4,5;66
Подгорная ул., 27, Иркутск;культура;58;Музей ретро-автомобилей Гараж;yandex;Музей;https://yandex.ru/maps/org/muzey_retro_avtomobiley_garazh/2414941178/;52,27919;104,297191;13;4,2;24
ул. Седова, 30;культура;59;Иркутский планетарий;yandex&google&2gis;Планетарий;https://yandex.ru/maps/org/irkutskiy_planetariy/1386617611/;52,273873;104,289784;202;4,7;255
ул. Халтурина, 3;культура;60;Городской выставочный центр имени В. С. Рогаля;yandex&google&2gis;Выставочный центр;https://yandex.ru/maps/org/gorodskoy_vystavochny_tsentr_imeni_v_s_rogalya/1013159994/;52,289391;104,287387;231;4,2;113
ул. Лермонтова, 83, корп. Е;культура;61;ИРНИТУ, Государственный минералогический музей имени А.В. Сидорова;yandex&google&2gis;Музей;https://yandex.ru/maps/org/irnitu_gosudarstvenny_mineralogicheskiy_muzey_imeni_a_v_sidorova/1005203486/;52,261194;104,262728;95;4,3;111
просп. Маршала Жукова, 36А/1;культура;62;Ледокол Ангара;yandex&google&2gis;Музей;https://yandex.ru/maps/org/ledokol_angara/1387752248/;52,250143;104,343884;259;4,4;273
Иркутский район, Александровский тракт, 5-й километр, 1;культура;63;Музей мусора;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_musora/212879594118/;52,382381;104,303091;521;5;576
ул. Ширямова, 38/4;культура;65;Музей имени дважды героя СССР Белобородова А.П.;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_imeni_dvazhdy_geroya_sssr_beloborodova_a_p_/73550645558/;52,264031;104,346525;72;4,3;35
ул. Седова, 30 Иркутский планетарий;культура;66;Музей Ноосфера имени Михаила Щадова;yandex;Музей;https://yandex.ru/maps/org/muzey_noosfera_imeni_mikhaila_shchadova/1496701183/;52,273769;104,289908;23;4,1;14
ул. Тимирязева, 59, Иркутск, этаж 2;культура;67;Музей охотоведения;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_okhotovedeniya/1147392513/;52,287823;104,302765;54;4,7;34
ул. Карла Маркса, 47офис 103, этаж 1;культура;68;Музей Боевой Славы;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_boyevoy_slavy/1092395542/;52,290051;104,294075;57;3,3;66
просп. Маршала Жукова, 36А/1;культура;69;Музей оптических иллюзий Фантаст;yandex&2gis;Музей;https://yandex.ru/maps/org/muzey_opticheskikh_illyuziy_fantast/83174781383/;52,250077;104,343825;56;4,5;44
ул. 3 Июля, 1/24;культура;70;Музей истории ВСЖД Всцнтиб - Структурного подразделения ВСЖД - Филиала РЖД;yandex;Музей;https://yandex.ru/maps/org/muzey_istorii_vszhd_vstsntib_strukturnogo_podrazdeleniya_vszhd_filiala_rzhd/1163472835/;52,272701;104,292538;11;4,1;7
ул. Лермонтова, 289этаж 1;культура;71;Экспериментарий;yandex&google&2gis;Музей;https://yandex.ru/maps/org/eksperimentariy/40297152871/;52,24507;104,271487;358;4,5;589
ул. 3 Июля, 21Б;культура;72;Музей Окно в Азию;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_okno_v_aziyu/185948247359/;52,273514;104,28927;114;3,7;24
Иркутск, улица Челнокова;культура;73;Музей истории вагонного депо;yandex;Музей;https://yandex.ru/maps/org/muzey_istorii_vagonnogo_depo/135675933248/;52,285835;104,258184;1;4;6
ул. Степана Разина, 11;культура;74;Музей игрушек Бичайханова;yandex&2gis;Музей;https://yandex.ru/maps/org/muzey_igrushek_bichaykhanova/1697602935/;52,285682;104,273932;8;4,4;7
ул. Академика Образцова, 30;культура;75;Музей локомотивного депо;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_lokomotivnogo_depo/1047591876/;52,339675;104,206623;21;4;21
ул. Сухэ-Батора, 5, Иркутск;культура;76;Музей зоологии позвоночных;yandex;Музей;https://yandex.ru/maps/org/muzey_zoologii_pozvonochnykh/1371957036/;52,288581;104,282537;2;3,9;0
ул. Грязнова, 22, Иркутск;культура;77;Тальцы, касса;yandex;Музей;https://yandex.ru/maps/org/taltsy_kassa/50582052090/;52,278911;104,288655;7;4;8
ул. Тимирязева, 33;культура;78;Музей пожарной охраны города Иркутска и Иркутской области;yandex&google&2gis;Музей;https://yandex.ru/maps/org/muzey_pozharnoy_okhrany_goroda_irkutska_i_irkutskoy_oblasti/1375903270/;52,283938;104,298292;139;4,3;38
ул. Ленина, 3;культура;79;Игу, геологический музей;yandex;Музей;https://yandex.ru/maps/org/igu_geologicheskiy_muzey/1084549839/;52,284934;104,280909;8;3,7;2
ул. Седова, 42/1;культура;80;Музей самоваров;yandex;Музей;https://yandex.ru/maps/org/muzey_samovarov/155602836843/;52,27316;104,29251;6;3,9;2
