id;exp_pht;exp_rat;exp_rev;Популярность
118;0,018621974;0,86;0,027464009;0,906085983
119;0,059590317;0,86;0,018383167;0,937973484
120;0,010242086;0,9;0,003322259;0,913564345
121;0,001862197;0,86;0,003986711;0,865848908
122;0,004655493;0,82;0,001328904;0,825984397
123;0,211359404;0,94;0,075968992;1,227328396
124;0,002793296;0,84;0,002879291;0,845672587
125;0,027001862;0,92;0,000885936;0,947887798
126;0,013966480;0,62;0,002436323;0,636402804
127;0,032588454;0,66;0,001550388;0,694138842
128;0,006517691;0,84;0,002436323;0,848954014
129;0,014897579;0,68;0,006644518;0,701542097
130;0,003724395;0,72;0,001107420;0,724831814
131;0,002793296;0,76;0,004429679;0,767222975
132;0;0,8;0,001550388;0,801550388
133;0,018621974;0,86;0,005094131;0,883716105
134;0,010242086;0,64;0,002214839;0,652456925
135;0;0,7;0,000664452;0,700664452
136;0,011173184;0,44;0,001328904;0,452502088
137;0,049348231;0,5;0,001993355;0,551341586
138;0,004655493;0,86;0,005980066;0,870635560
139;0,055865922;0,88;0,006423034;0,942288956
140;0,007448790;0,8;0,001993355;0,809442145
141;0,002793296;0,9;0,000442968;0,903236264
142;0,003724395;0,52;0,001107420;0,524831814
143;0,027932961;0,82;0,081284607;0,929217568
144;0,337057728;0,92;0,036987818;1,294045547
145;0,015828678;0,84;0,000221484;0,856050162
146;0,025139665;0,96;0,071539313;1,056678978
147;0,052141527;0,98;0,013289037;1,045430564
148;0,060521415;0,94;0,037873754;1,038395169
149;0,013966480;0,94;0,009523810;0,963490290
150;0;0,88;0,001771872;0,881771872
151;0,017690875;0,94;0,003322259;0,961013134
152;0,026070764;0,96;0,002214839;0,988285603
153;0,001862197;0,88;0,001771872;0,883634069
154;0,009310987;0,88;0,002436323;0,891747310
155;0,000931099;0,78;0,001771872;0,782702970
156;0,270018622;0,86;0,045847176;1,175865798
157;0,016759777;0,8;0,003322259;0,820082036
158;0;0,84;0,000221484;0,840221484
159;0,009310987;0,86;0,002657807;0,871968794
160;0,014897579;0,38;0,000885936;0,395783515
161;0,206703911;0,9;0,175415282;1,282119193
162;0;0,86;0,005537099;0,865537099
163;0,027932961;0;0;0,027932961
164;0;0,86;0,000664452;0,860664452
165;0,007448790;0,86;0,000664452;0,868113241
166;0;0,92;0,001993355;0,921993355
167;0,003724395;0,88;0,001328904;0,885053298
168;0,002793296;0,72;0,002214839;0,725008136
169;0;0,84;0,000221484;0,840221484
170;0,025139665;0,86;0,013953488;0,899093153
171;0;0,86;0,008194906;0,868194906
172;0,001862197;0,88;0,000442968;0,882305165
173;0,000931099;0,86;0,002879291;0,863810390
174;0;0,82;0,005315615;0,825315615
175;0,002793296;0,84;0,003765227;0,846558523
176;0,011173184;0,9;0,001107420;0,912280604
177;0,000931099;0,62;0,002879291;0,623810390
178;0;0,8;0,000885936;0,800885936
179;0,003724395;0,84;0,001550388;0,845274782
180;0,010242086;0,9;0,001550388;0,911792473
181;0,001862197;0,66;0,001328904;0,663191101
182;0,004655493;0,82;0,000442968;0,825098461
183;0,001862197;0,76;0,000885936;0,762748133
184;0,468342644;0,96;0,084385382;1,512728026
185;0,000931099;0,86;0,000442968;0,861374067
186;0,000931099;0,68;0,002436323;0,683367422
187;0;0,72;0,002214839;0,722214839
188;0;0,76;0,000442968;0,760442968
189;0;0,82;0,000442968;0,820442968
190;0,000931099;0,86;0;0,860931099
191;0,001862197;0,86;0,002436323;0,864298521
192;0,000931099;0,48;0,000664452;0,481595551
193;0,314711359;0,72;0,138870432;1,173581791
194;0,001862197;0,88;0,003765227;0,885627424
195;0,001862197;0,86;0;0,861862197
196;0;0,8;0,001107420;0,801107420
197;0,004655493;0,94;0,000664452;0,945319945
198;0,007448790;0,82;0,002214839;0,829663629
199;0;0,82;0,000442968;0,820442968
200;0;0,78;0,000442968;0,780442968
201;0;0,38;0,003100775;0,383100775
202;0;0,84;0,001550388;0,841550388
203;0;0,82;0,000221484;0,820221484
204;0,000931099;0,78;0,001550388;0,782481486
205;0,002793296;0,78;0,000664452;0,783457748
206;0;0,64;0,000221484;0,640221484
207;0;0,8;0,001107420;0,801107420
208;0,002793296;0,8;0;0,802793296
209;0,226256983;0,98;0,141528239;1,347785222
210;0,036312849;0,92;0,002657807;0,958970656
211;0,003724395;0,72;0;0,723724395
212;0;0;0,000221484;0,000221484
213;0;0,76;0,000221484;0,760221484
214;0,016759777;0,86;0,001107420;0,877867196
215;0,001862197;0,84;0,001550388;0,843412585
216;0;0,66;0,000221484;0,660221484
217;0,001862197;0,84;0,000885936;0,842748133
218;0,001862197;0,86;0;0,861862197
867;0,012104283;0;0;0,012104283
219;0;0,72;0;0,72
220;0,005586592;0,8;0;0,805586592
221;0;0,82;0;0,82
222;0,160148976;0,94;0,071317829;1,171466805
223;0;0;0;0
224;0;0;0;0
225;0,001862197;0,82;0;0,821862197
226;0,087523277;0,9;0,029235880;1,016759158
227;0;0;0,000221484;0,000221484
228;0,625698324;0,92;0,140420819;1,686119144
229;0;0,9;0,001550388;0,901550388
230;0,003724395;0,52;0;0,523724395
231;0;0,8;0;0,8
232;0,000931099;0,78;0;0,780931099
233;0;0,8;0,000221484;0,800221484
234;0,006517691;0,76;0,000442968;0,766960659
235;0;0,8;0,000221484;0,800221484
236;0,000931099;0,8;0;0,800931099
237;0,000931099;0,48;0,000442968;0,481374067
238;0;0,78;0;0,78
239;0,001862197;0,38;0;0,381862197
240;0,039106145;0,9;0,020598007;0,959704152
241;0;0,56;0,000442968;0,560442968
242;0,013966480;0,94;0,008637874;0,962604354
243;0,004655493;0,88;0,001550388;0,886205881
244;0,000931099;0,88;0;0,880931099
245;0;0,74;0;0,74
246;0;0;0;0
247;0;0,82;0,000442968;0,820442968
248;0,001862197;0;0;0,001862197
249;0,070763501;0,88;0,012624585;0,963388086
250;0,055865922;0,92;0,029014396;1,004880318
251;0,018621974;0,84;0,006201550;0,864823524
252;0;0;0;0
253;0,008379888;0;0,000442968;0,008822856
254;0,002793296;0,84;0,001328904;0,844122200
255;0,001862197;0;0;0,001862197
257;0,004655493;0,3;0,000221484;0,304876977
258;0,002793296;0;0;0,002793296
261;0,158286778;0,94;0,011295681;1,109582459
262;0,054934823;0,98;0,009302326;1,044237149
263;0,034450652;0,96;0,037209302;1,031659954
264;0,273743017;0,98;0,436987818;1,690730835
265;0,580074488;0,9;0,172757475;1,652831963
266;0,003724395;0,88;0,000885936;0,884610331
268;0,027932961;0,96;0,006423034;0,994355995
269;0,205772812;0,96;0,098781838;1,264554650
270;0,054934823;0,96;0,017497231;1,032432055
271;0,795158287;0,92;0,068660022;1,783818309
272;0,040037244;1;0,007087486;1,047124730
273;0,023277467;0,96;0,004208195;0,987485662
274;0,156424581;0,96;0,012624585;1,129049166
275;0,037243948;0,94;0,003986711;0,981230659
276;0,042830540;0,98;0,003986711;1,026817251
277;0,013966480;0,88;0,002214839;0,896181320
278;0,027001862;0,8;0,001550388;0,828552250
279;0,040037244;0,96;0,005758583;1,005795826
280;0,045623836;0,96;0,007087486;1,012711322
281;0,051210428;0,94;0,009302326;1,000512754
282;0,002793296;0,88;0,007751938;0,890545234
283;0,020484171;0,92;0,013289037;0,953773208
284;0,038175047;0,96;0,027242525;1,025417571
285;0,008379888;0,98;0,019269103;1,007648991
286;0,017690875;0,94;0,002214839;0,959905715
287;0,133147114;0,98;0,026578073;1,139725187
288;0,096834264;0,98;0,036544850;1,113379115
289;0,463687151;0,86;0,125802879;1,449490030
290;0,004655493;0,88;0,002214839;0,886870333
291;0,027001862;0,9;0,003322259;0,930324121
292;0,002793296;0,96;0,003986711;0,966780007
293;0,025139665;0,84;0,009745293;0,874884958
294;0,072625698;0,76;0,005758583;0,838384281
295;0,003724395;0,82;0,000442968;0,824167363
296;0,011173184;0,94;0,001107420;0,952280604
297;0,020484171;0,9;0,001107420;0,921591591
298;0;0,92;0,001550388;0,921550388
299;0,010242086;0,82;0,000221484;0,830463570
300;0,002793296;0,98;0,002879291;0,985672587
302;0,040968343;0,98;0,004429679;1,025398021
303;0;0,9;0,002214839;0,902214839
304;0;0,7;0,000221484;0,700221484
305;0,011173184;0,82;0,000221484;0,831394668
306;0,011173184;0,96;0,002214839;0,973388024
307;0,004655493;0,86;0,001993355;0,866648849
308;0,006517691;0,9;0,000885936;0,907403627
309;0,013966480;0;0,000221484;0,014187964
310;0;0,92;0,001771872;0,921771872
311;0,004655493;0,82;0;0,824655493
312;0,022346369;0,5;0,000221484;0,522567853
316;0,046554935;0,9;0,002436323;0,948991258
317;0;0;0,000221484;0,000221484
318;0,029795158;0,76;0,003543743;0,793338901
320;0,036312849;0,84;0,001550388;0,877863237
321;0;0,8;0;0,8
322;0;0;0;0
323;0,000931099;0;0;0,000931099
325;0,000931099;0,8;0,002879291;0,803810390
326;0,001862197;0,9;0,000664452;0,902526649
327;0,008379888;0;0;0,008379888
328;0,009310987;0,94;0,003100775;0,952411762
329;0,012104283;0;0;0,012104283
331;0,059590317;0,9;0,006423034;0,966013351
332;0,001862197;0,88;0,001107420;0,882969617
882;0;0;0;0
333;0,013035382;0,62;0,002879291;0,635914673
334;0,004655493;0,82;0,000221484;0,824876977
335;0,005586592;0;0;0,005586592
338;0,028864060;0,92;0,006423034;0,955287094
339;0,006517691;0;0;0,006517691
340;0,001862197;0;0;0,001862197
341;0;0,8;0,000442968;0,800442968
342;0,021415270;0,84;0,000442968;0,861858238
343;0,006517691;0;0;0,006517691
344;0,008379888;0,94;0,004651163;0,953031051
345;0,028864060;0,9;0,000885936;0,929749995
346;0,001862197;0,88;0,000664452;0,882526649
347;0;0;0;0
348;0,008379888;0,9;0,000442968;0,908822856
350;0;0;0;0
352;0;0;0;0
354;0,010242086;0;0;0,010242086
355;0;0,8;0,000221484;0,800221484
356;0,002793296;0,84;0,000664452;0,843457748
357;0,000931099;0;0;0,000931099
358;0;0;0;0
359;0;0;0;0
868;0;0,74;0,000442968;0,740442968
360;0,012104283;0,5;0,000221484;0,512325767
361;0;0;0;0
363;0,002793296;0,82;0,000221484;0,823014780
364;0,001862197;0,86;0,003543743;0,865405940
365;0,047486034;0,66;0,006644518;0,714130552
366;0,473929236;0,48;0,034994463;0,988923699
368;0,000931099;0;0,000221484;0,001152583
369;0;0;0;0
377;0,000931099;0;0;0,000931099
381;0;0;0;0
382;0,002793296;0;0;0,002793296
383;0;0;0;0
384;0,013966480;0;0;0,013966480
385;0;0,8;0,000885936;0,800885936
386;0,003724395;0;0;0,003724395
387;0;0,8;0,001993355;0,801993355
388;0;0,78;0,000664452;0,780664452
389;0;0,8;0,000442968;0,800442968
392;0,005586592;0,78;0;0,785586592
394;0,006517691;0,5;0,000221484;0,506739175
396;0;0;0;0
398;0,003724395;0;0;0,003724395
399;0;0;0;0
401;0;0;0;0
402;0,000931099;0,86;0,004651163;0,865582261
403;0,005586592;0,5;0,000442968;0,506029560
404;0,002793296;0;0;0,002793296
405;0,001862197;0;0;0,001862197
406;0,003724395;0,84;0,000442968;0,844167363
407;0,000931099;0;0;0,000931099
408;0,000931099;0,82;0,000442968;0,821374067
409;0,000931099;0;0,000221484;0,001152583
411;0;0;0;0
412;0,003724395;0,9;0,002879291;0,906603686
413;0;0,76;0,000221484;0,760221484
415;0,004655493;0,88;0,001107420;0,885762913
870;0,004655493;0,5;0,000221484;0,504876977
419;0;0;0;0
421;0,005586592;0,5;0,000221484;0,505808076
422;0,004655493;0;0;0,004655493
424;0;0,82;0,000442968;0,820442968
