admin_reg;id (adminbounds_data_total.csv)
Октябрьский;389
Ленинский;390
Свердловский;391
Свердловский;392
Свердловский;869
Октябрьский;393
Октябрьский;394
Свердловский;395
Ленинский;396
Октябрьский;397
Ленинский;398
за городом;399
Кировский;400
Куйбышевский;401
за городом;402
Кировский;403
Куйбышевский;404
Кировский;405
Кировский;406
Куйбышевский;407
Кировский;408
Свердловский;409
Куйбышевский;410
Кировский;411
за городом;412
Свердловский;413
Ленинский;414
за городом;415
Куйбышевский;416
Кировский;417
Кировский;418
Октябрьский;870
Ленинский;419
Кировский;420
Кировский;421
Октябрьский;422
Кировский;423
Свердловский;424
Ленинский;425
Кировский;426
Свердловский;871
Кировский;427
Кировский;428
Кировский;429
Кировский;430
Свердловский;431
Кировский;432
за городом;433
Куйбышевский;434
Ленинский;435
Ленинский;436
Кировский;437
Ленинский;438
Ленинский;439
Октябрьский;440
Ленинский;441
Октябрьский;442
Кировский;443
Октябрьский;444
Кировский;872
Кировский;445
Куйбышевский;446
Свердловский;447
Октябрьский;448
за городом;449
Свердловский;450
Свердловский;451
Куйбышевский;452
Кировский;453
Куйбышевский;454
за городом;455
Ленинский;456
Свердловский;457
Ленинский;458
Кировский;459
Ленинский;460
Куйбышевский;873
за городом;461
за городом;462
Куйбышевский;463
Ленинский;464
за городом;465
Куйбышевский;466
Ленинский;467
Куйбышевский;468
за городом;469
за городом;874
за городом;470
за городом;471
за городом;472
Ленинский;473
Куйбышевский;474
Ленинский;475
Куйбышевский;476
за городом;477
Свердловский;478
Свердловский;479
Куйбышевский;480
Октябрьский;481
Свердловский;482
Октябрьский;483
Свердловский;484
Свердловский;485
Свердловский;486
Ленинский;487
Свердловский;488
Куйбышевский;489
за городом;490
за городом;491
Свердловский;492
Куйбышевский;493
Октябрьский;494
Кировский;495
Куйбышевский;496
Свердловский;497
Кировский;498
Куйбышевский;499
Октябрьский;500
Куйбышевский;501
Куйбышевский;502
Октябрьский;503
Куйбышевский;504
Октябрьский;505
Свердловский;506
Ленинский;507
Кировский;508
Ленинский;509
Куйбышевский;510
Куйбышевский;511
Октябрьский;512
Свердловский;513
Куйбышевский;514
за городом;515
Куйбышевский;516
Куйбышевский;517
за городом;518
за городом;519
за городом;875
Кировский;520
Кировский;521
Куйбышевский;522
Кировский;523
за городом;524
Свердловский;525
Ленинский;876
Октябрьский;526
Октябрьский;527
Свердловский;528
Кировский;529
Куйбышевский;530
Свердловский;531
Октябрьский;532
Кировский;533
Кировский;534
Октябрьский;535
Кировский;536
Кировский;537
Октябрьский;538
Свердловский;539
Октябрьский;540
за городом;541
Октябрьский;542
Куйбышевский;543
Октябрьский;544
Куйбышевский;545
Октябрьский;546
Октябрьский;547
Свердловский;548
Кировский;549
Кировский;550
Ленинский;551
Свердловский;552
Свердловский;553
Октябрьский;554
за городом;555
Свердловский;556
Куйбышевский;557
Куйбышевский;558
Свердловский;559
