day;id (time_data.csv);place_id;source (time_data.csv);time;value
Чт;;700;google;30.12.1899 13:00:00;58
Чт;;700;google;30.12.1899 14:00:00;53
Чт;;700;google;30.12.1899 15:00:00;47
Чт;;700;google;30.12.1899 16:00:00;46
Чт;;700;google;30.12.1899 17:00:00;52
Чт;;700;google;30.12.1899 18:00:00;63
Чт;;700;google;30.12.1899 19:00:00;71
Чт;;700;google;30.12.1899 20:00:00;70
Чт;;700;google;30.12.1899 21:00:00;58
Чт;;700;google;30.12.1899 22:00:00;39
Чт;;700;google;30.12.1899 23:00:00;0
Пт;;700;google;30.12.1899 6:00:00;0
Пт;;700;google;30.12.1899 7:00:00;0
Пт;;700;google;30.12.1899 8:00:00;22
Пт;;700;google;30.12.1899 9:00:00;29
Пт;;700;google;30.12.1899 10:00:00;33
Пт;;700;google;30.12.1899 11:00:00;42
Пт;;700;google;30.12.1899 12:00:00;58
Пт;;700;google;30.12.1899 13:00:00;66
Пт;;700;google;30.12.1899 14:00:00;56
Пт;;700;google;30.12.1899 15:00:00;41
Пт;;700;google;30.12.1899 16:00:00;41
Пт;;700;google;30.12.1899 17:00:00;57
Пт;;700;google;30.12.1899 18:00:00;79
Пт;;700;google;30.12.1899 19:00:00;96
Пт;;700;google;30.12.1899 20:00:00;100
Пт;;700;google;30.12.1899 21:00:00;87
Пт;;700;google;30.12.1899 22:00:00;64
Пт;;700;google;30.12.1899 23:00:00;40
Сб;;700;google;30.12.1899 6:00:00;0
Сб;;700;google;30.12.1899 7:00:00;0
Сб;;700;google;30.12.1899 8:00:00;10
Сб;;700;google;30.12.1899 9:00:00;17
Сб;;700;google;30.12.1899 10:00:00;28
Сб;;700;google;30.12.1899 11:00:00;39
Сб;;700;google;30.12.1899 12:00:00;49
Сб;;700;google;30.12.1899 13:00:00;55
Сб;;700;google;30.12.1899 14:00:00;59
Сб;;700;google;30.12.1899 15:00:00;63
Сб;;700;google;30.12.1899 16:00:00;69
Сб;;700;google;30.12.1899 17:00:00;77
Сб;;700;google;30.12.1899 18:00:00;86
Сб;;700;google;30.12.1899 19:00:00;93
Сб;;700;google;30.12.1899 20:00:00;93
Сб;;700;google;30.12.1899 21:00:00;82
Сб;;700;google;30.12.1899 22:00:00;63
Сб;;700;google;30.12.1899 23:00:00;40
Вс;;18;google;30.12.1899 6:00:00;0
Вс;;18;google;30.12.1899 7:00:00;0
Вс;;18;google;30.12.1899 8:00:00;0
Вс;;18;google;30.12.1899 9:00:00;0
Вс;;18;google;30.12.1899 10:00:00;0
Вс;;18;google;30.12.1899 11:00:00;0
Вс;;18;google;30.12.1899 12:00:00;20
Вс;;18;google;30.12.1899 13:00:00;35
Вс;;18;google;30.12.1899 14:00:00;51
Вс;;18;google;30.12.1899 15:00:00;61
Вс;;18;google;30.12.1899 16:00:00;60
Вс;;18;google;30.12.1899 17:00:00;52
Вс;;18;google;30.12.1899 18:00:00;44
Вс;;18;google;30.12.1899 19:00:00;39
Вс;;18;google;30.12.1899 20:00:00;35
Вс;;18;google;30.12.1899 21:00:00;29
Вс;;18;google;30.12.1899 22:00:00;20
Вс;;18;google;30.12.1899 23:00:00;12
Пн;;18;google;30.12.1899 6:00:00;0
Пн;;18;google;30.12.1899 7:00:00;0
Пн;;18;google;30.12.1899 8:00:00;0
Пн;;18;google;30.12.1899 9:00:00;0
Пн;;18;google;30.12.1899 10:00:00;0
Пн;;18;google;30.12.1899 11:00:00;0
Пн;;18;google;30.12.1899 12:00:00;12
Пн;;18;google;30.12.1899 13:00:00;15
Пн;;18;google;30.12.1899 14:00:00;20
Пн;;18;google;30.12.1899 15:00:00;24
Пн;;18;google;30.12.1899 16:00:00;28
Пн;;18;google;30.12.1899 17:00:00;31
Пн;;18;google;30.12.1899 18:00:00;33
Пн;;18;google;30.12.1899 19:00:00;32
Пн;;18;google;30.12.1899 20:00:00;28
Пн;;18;google;30.12.1899 21:00:00;23
Пн;;18;google;30.12.1899 22:00:00;17
Пн;;18;google;30.12.1899 23:00:00;12
Вт;;18;google;30.12.1899 6:00:00;0
Вт;;18;google;30.12.1899 7:00:00;0
Вт;;18;google;30.12.1899 8:00:00;0
Вт;;18;google;30.12.1899 9:00:00;0
Вт;;18;google;30.12.1899 10:00:00;0
Вт;;18;google;30.12.1899 11:00:00;0
Вт;;18;google;30.12.1899 12:00:00;14
Вт;;18;google;30.12.1899 13:00:00;18
Вт;;18;google;30.12.1899 14:00:00;20
Вт;;18;google;30.12.1899 15:00:00;23
Вт;;18;google;30.12.1899 16:00:00;27
Вт;;18;google;30.12.1899 17:00:00;38
Вт;;18;google;30.12.1899 18:00:00;52
Вт;;18;google;30.12.1899 19:00:00;57
Вт;;18;google;30.12.1899 20:00:00;49
Вт;;18;google;30.12.1899 21:00:00;38
Вт;;18;google;30.12.1899 22:00:00;29
Вт;;18;google;30.12.1899 23:00:00;22
Ср;;18;google;30.12.1899 6:00:00;0
Ср;;18;google;30.12.1899 7:00:00;0
Ср;;18;google;30.12.1899 8:00:00;0
Ср;;18;google;30.12.1899 9:00:00;0
Ср;;18;google;30.12.1899 10:00:00;0
Ср;;18;google;30.12.1899 11:00:00;0
Ср;;18;google;30.12.1899 12:00:00;10
Ср;;18;google;30.12.1899 13:00:00;16
Ср;;18;google;30.12.1899 14:00:00;22
Ср;;18;google;30.12.1899 15:00:00;30
Ср;;18;google;30.12.1899 16:00:00;37
Ср;;18;google;30.12.1899 17:00:00;41
Ср;;18;google;30.12.1899 18:00:00;43
Ср;;18;google;30.12.1899 19:00:00;41
Ср;;18;google;30.12.1899 20:00:00;37
Ср;;18;google;30.12.1899 21:00:00;30
Ср;;18;google;30.12.1899 22:00:00;23
Ср;;18;google;30.12.1899 23:00:00;16
Чт;;18;google;30.12.1899 6:00:00;0
Чт;;18;google;30.12.1899 7:00:00;0
Чт;;18;google;30.12.1899 8:00:00;0
Чт;;18;google;30.12.1899 9:00:00;0
Чт;;18;google;30.12.1899 10:00:00;0
Чт;;18;google;30.12.1899 11:00:00;0
Чт;;18;google;30.12.1899 12:00:00;16
Чт;;18;google;30.12.1899 13:00:00;21
Чт;;18;google;30.12.1899 14:00:00;26
Чт;;18;google;30.12.1899 15:00:00;29
Чт;;18;google;30.12.1899 16:00:00;31
Чт;;18;google;30.12.1899 17:00:00;37
Чт;;18;google;30.12.1899 18:00:00;47
Чт;;18;google;30.12.1899 19:00:00;53
Чт;;18;google;30.12.1899 20:00:00;46
Чт;;18;google;30.12.1899 21:00:00;34
Чт;;18;google;30.12.1899 22:00:00;25
Чт;;18;google;30.12.1899 23:00:00;19
Пт;;18;google;30.12.1899 6:00:00;0
Пт;;18;google;30.12.1899 7:00:00;0
Пт;;18;google;30.12.1899 8:00:00;0
Пт;;18;google;30.12.1899 9:00:00;0
Пт;;18;google;30.12.1899 10:00:00;0
Пт;;18;google;30.12.1899 11:00:00;0
Пт;;18;google;30.12.1899 12:00:00;11
Пт;;18;google;30.12.1899 13:00:00;17
Пт;;18;google;30.12.1899 14:00:00;25
Пт;;18;google;30.12.1899 15:00:00;35
Пт;;18;google;30.12.1899 16:00:00;47
Пт;;18;google;30.12.1899 17:00:00;60
Пт;;18;google;30.12.1899 18:00:00;73
Пт;;18;google;30.12.1899 19:00:00;86
Пт;;18;google;30.12.1899 20:00:00;95
Пт;;18;google;30.12.1899 21:00:00;97
Пт;;18;google;30.12.1899 22:00:00;89
Пт;;18;google;30.12.1899 23:00:00;73
Пт;;18;google;30.12.1899 0:00:00;53
Пт;;18;google;30.12.1899 1:00:00;35
Пт;;18;google;30.12.1899 2:00:00;21
Сб;;18;google;30.12.1899 6:00:00;0
Сб;;18;google;30.12.1899 7:00:00;0
Сб;;18;google;30.12.1899 8:00:00;0
Сб;;18;google;30.12.1899 9:00:00;0
Сб;;18;google;30.12.1899 10:00:00;0
Сб;;18;google;30.12.1899 11:00:00;0
Сб;;18;google;30.12.1899 12:00:00;26
Сб;;18;google;30.12.1899 13:00:00;39
Сб;;18;google;30.12.1899 14:00:00;51
Сб;;18;google;30.12.1899 15:00:00;59
Сб;;18;google;30.12.1899 16:00:00;66
Сб;;18;google;30.12.1899 17:00:00;72
Сб;;18;google;30.12.1899 18:00:00;82
Сб;;18;google;30.12.1899 19:00:00;93
Сб;;18;google;30.12.1899 20:00:00;100
Сб;;18;google;30.12.1899 21:00:00;99
Сб;;18;google;30.12.1899 22:00:00;89
Сб;;18;google;30.12.1899 23:00:00;72
Сб;;18;google;30.12.1899 0:00:00;53
Сб;;18;google;30.12.1899 1:00:00;34
Сб;;18;google;30.12.1899 2:00:00;20
Вс;;2256;google;30.12.1899 6:00:00;0
Вс;;2256;google;30.12.1899 7:00:00;0
Вс;;2256;google;30.12.1899 8:00:00;0
Вс;;2256;google;30.12.1899 9:00:00;0
Вс;;2256;google;30.12.1899 10:00:00;0
Вс;;2256;google;30.12.1899 11:00:00;0
Вс;;2256;google;30.12.1899 12:00:00;0
Вс;;2256;google;30.12.1899 13:00:00;1
Вс;;2256;google;30.12.1899 14:00:00;3
Вс;;2256;google;30.12.1899 15:00:00;5
Вс;;2256;google;30.12.1899 16:00:00;3
Вс;;2256;google;30.12.1899 17:00:00;5
Вс;;2256;google;30.12.1899 18:00:00;8
Вс;;2256;google;30.12.1899 19:00:00;15
Вс;;2256;google;30.12.1899 20:00:00;22
Вс;;2256;google;30.12.1899 21:00:00;24
Вс;;2256;google;30.12.1899 22:00:00;21
Вс;;2256;google;30.12.1899 23:00:00;14
Пн;;2256;google;;0
Вт;;2256;google;30.12.1899 6:00:00;0
Вт;;2256;google;30.12.1899 7:00:00;0
Вт;;2256;google;30.12.1899 8:00:00;0
Вт;;2256;google;30.12.1899 9:00:00;0
Вт;;2256;google;30.12.1899 10:00:00;0
Вт;;2256;google;30.12.1899 11:00:00;0
Вт;;2256;google;30.12.1899 12:00:00;1
Вт;;2256;google;30.12.1899 13:00:00;3
Вт;;2256;google;30.12.1899 14:00:00;5
Вт;;2256;google;30.12.1899 15:00:00;5
Вт;;2256;google;30.12.1899 16:00:00;1
Вт;;2256;google;30.12.1899 17:00:00;0
Вт;;2256;google;30.12.1899 18:00:00;3
Вт;;2256;google;30.12.1899 19:00:00;8
Вт;;2256;google;30.12.1899 20:00:00;17
Вт;;2256;google;30.12.1899 21:00:00;21
Вт;;2256;google;30.12.1899 22:00:00;17
Вт;;2256;google;30.12.1899 23:00:00;8
Ср;;2256;google;30.12.1899 6:00:00;0
Ср;;2256;google;30.12.1899 7:00:00;0
